Year,Month,Rainfall_mm
2004,Jan,109.6
2004,Feb,18.6
2004,Mar,14.6
2004,Apr,66.6
2004,May,36.6
2004,Jun,56.6
2004,Jul,40.2
2004,Aug,77.2
2004,Sep,67.8
2004,Oct,80.2
2004,Nov,133.8
2004,Dec,56.8
2005,Jan,26.4
2005,Feb,156.2
2005,Mar,14.4
2005,Apr,32.4
2005,May,15.0
2005,Jun,47.8
2005,Jul,32.6
2005,Aug,75.6
2005,Sep,70.8
2005,Oct,39.4
2005,Nov,65.4
2005,Dec,89.0
2006,Jan,54.6
2006,Feb,79.6
2006,Mar,22.4
2006,Apr,69.2
2006,May,55.0
2006,Jun,11.4
2006,Jul,36.0
2006,Aug,34.6
2006,Sep,31.6
2006,Oct,13.2
2006,Nov,29.8
2006,Dec,31.4
2007,Jan,36.8
2007,Feb,14.8
2007,Mar,45.6
2007,Apr,24.4
2007,May,48.0
2007,Jun,56.0
2007,Jul,81.8
2007,Aug,21.4
2007,Sep,24.2
2007,Oct,24.2
2007,Nov,76.0
2007,Dec,90.8
2008,Jan,17.0
2008,Feb,29.9
2008,Mar,80.8
2008,Apr,19.8
2008,May,50.6
2008,Jun,27.6
2008,Jul,63.0
2008,Aug,58.1
2008,Sep,28.8
2008,Oct,13.6
2008,Nov,0.0
2008,Dec,77.3
2009,Jan,1.0
2009,Feb,2.3
2009,Mar,51.0
2009,Apr,59.0
2009,May,18.2
2009,Jun,34.6
2009,Jul,66.5
2009,Aug,45.2
2009,Sep,89.4
2009,Oct,42.0
2009,Nov,98.4
2009,Dec,39.4
2010,Jan,40.8
2010,Feb,30.3
2010,Mar,83.2
2010,Apr,32.6
2010,May,32.0
2010,Jun,86.3
2010,Jul,29.8
2010,Aug,82.0
2010,Sep,51.2
2010,Oct,146.4
2010,Nov,103.6
2010,Dec,115.4
2011,Jan,89.4
2011,Feb,181.8
2011,Mar,31.6
2011,Apr,128.4
2011,May,73.0
2011,Jun,35.4
2011,Jul,43.8
2011,Aug,23.6
2011,Sep,0.0
2011,Oct,66.0
2011,Nov,135.2
2011,Dec,74.0
2012,Jan,40.8
2012,Feb,81.1
2012,Mar,64.2
2012,Apr,89.4
2012,May,97.0
2012,Jun,84.2
2012,Jul,85.3
2012,Aug,58.2
2012,Sep,45.5
2012,Oct,35.0
2012,Nov,38.7
2012,Dec,27.0
2013,Jan,0.0
2013,Feb,93.2
2013,Mar,40.8
2013,Apr,33.6
2013,May,42.2
2013,Jun,96.4
2013,Jul,79.2
2013,Aug,60.8
2013,Sep,84.6
2013,Oct,54.8
2013,Nov,73.8
2013,Dec,48.6
2014,Jan,18.4
2014,Feb,27.6
2014,Mar,25.6
2014,Apr,77.2
2014,May,49.4
2014,Jun,64.4
2014,Jul,32.6
2014,Aug,33.6
2014,Sep,43.8
2014,Oct,35.3
2014,Nov,65.0
2014,Dec,38.0
2015,Jan,0.0
2015,Feb,39.7
2015,Mar,30.8
2015,Apr,65.4
2015,May,49.3
2015,Jun,31.2
2015,Jul,70.2
2015,Aug,44.5
2015,Sep,38.4
2015,Oct,14.9
2015,Nov,46.0
2015,Dec,44.5
2016,Jan,51.5
2016,Feb,13.6
2016,Mar,37.8
2016,Apr,47.8
2016,May,63.0
2016,Jun,65.4
2016,Jul,0.0
2016,Aug,68.2
2016,Sep,89.0
2016,Oct,79.0
2016,Nov,45.6
2016,Dec,77.5
2017,Jan,31.4
2017,Feb,55.0
2017,Mar,35.4
2017,Apr,110.5
2017,May,32.0
2017,Jun,23.0
2017,Jul,33.0
2017,Aug,63.0
2017,Sep,35.5
2017,Oct,52.0
2017,Nov,40.0
2017,Dec,137.0
2018,Jan,69.0
2018,Feb,2.4
2018,Mar,24.0
2018,Apr,17.6
2018,May,0.0
2018,Jun,42.2
2018,Jul,27.0
2018,Aug,42.2
2018,Sep,17.6
2018,Oct,23.8
2018,Nov,102.5
2018,Dec,0.0
2019,Jan,7.5
2019,Feb,5.6
2019,Mar,22.4
2019,Apr,18.2
2019,May,73.5
2019,Jun,51.3
2019,Jul,52.2
2019,Aug,59.8
2019,Sep,53.3
2019,Oct,27.0
2019,Nov,63.4
2019,Dec,13.8
