Year_x,Residential_GL,Non_Residential_GL,Non_Revenue_GL,Total_Demand_GL,YearInt,Year_y,Desalination_Delivered_GL,Natural_Yield_GL
2012-13,261,101,44,406,2012,2012,0,406
2013-14,263,101,45,409,2013,2013,0,409
2014-15,267,102,46,415,2014,2014,0,415
2015-16,283,108,50,441,2015,2015,0,441
2016-17,279,106,43,428,2016,2016,0,428
2017-18,289,110,53,452,2017,2017,50,402
2018-19,299,111,49,459,2018,2018,15,444
2019-20,298,102,39,439,2019,2019,15,424
2020-21,303,90,41,434,2020,2020,125,309
2021-22,304,94,47,445,2021,2021,125,320
